id,date,publication,author,headline,items
1457,2021-08-03,The Statesman,PTI,No proposal from Cairn to settle dispute: Govt,"Cairn Energy, arbitration"
1458,2021-08-03,The Hindu Business Line,Bureau,No formal proposal received from Cairn for amicable solution,"Cairn Energy, arbitration"
1459,2021-08-03,Hindustan Times,Bureau,No proposal from Cairn Energy for settlement: govt,"Cairn Energy, arbitration"
1460,2021-08-03,The Indian Express,Bureau,MoS Finance: No formal proposal from Cairn to settle dispute,"Cairn Energy, arbitration"
1461,2021-08-03,The Economic Times,Bureau,No Proposal From Cairn Energy for Tax Dispute Settlement: FinMin.,"Cairn Energy, arbitration"
1462,2021-08-03,Hindustan Times,PTI,"No formal proposal from Cairn to settle dispute, says Centre","Cairn Energy, arbitration"
1463,2021-08-03,The Economic Times,Bureau,No Proposal from Cairn Energy for Settlement of Tax Dispute : FinMin,"Cairn Energy, arbitration"
1464,2021-08-03,Free Press,Bureau,Govt says no formal proposal from Cairn Energy to settle dispute,"Cairn Energy, arbitration"
1465,2021-08-03,The New Indian Express,Bureau,Cairn has not shared list of assets to be attached: Govt,"Cairn Energy, arbitration"
1466,2021-08-03,The New Indian Express,Bureau,Cairn has not shared list of assets to be attached: Govt,"Cairn Energy, arbitration"
1467,2021-08-05,Business Standard, Shyam Ponappa,Arbitration awards and the public interest,"Cairn Energy, arbitration"
1468,2021-08-06,The Economic Times,Bureau,Govt Moves to Axe Retro Clause in 2012 Tax Law,"Cairn Energy, arbitration"
1469,2021-08-06,The Hindu Business Line, Shishir Sinha,Govt junks the retrospective tax law,"Cairn Energy, retrospective tax, arbitration"
1470,2021-08-06,The Hindu Business Line,Bureau,RETROSPECTIVE TAX TIMELINE,"Cairn Energy, retro tax, arbitration"
1471,2021-08-06,The Economic Times, Deepshikha Sikarwar,Govt Seeks to Bury Hatchet: Bajaj,"retrospective tax, arbitration"
1472,2021-08-06,The Economic Times,Bureau,Govt Moves to Axe Retro Clause in 2012 Tax Law...,"Cairn Energy, arbitration"
